Feature,value_rfe
app_entropy_shannon_8_coef,737
tqwt_stdValue_dec_34,738
app_entropy_shannon_9_coef,739
tqwt_entropy_log_dec_13,740
app_entropy_shannon_10_coef,741
app_LT_TKEO_std_8_coef,742
tqwt_entropy_log_dec_14,743
tqwt_stdValue_dec_33,744
app_entropy_log_2_coef,745
tqwt_entropy_log_dec_18,746
tqwt_entropy_log_dec_17,747
app_entropy_log_5_coef,748
app_entropy_log_4_coef,749
app_LT_TKEO_std_10_coef,750
app_LT_TKEO_std_9_coef,751
app_entropy_log_6_coef,752
gender,753
